地區,項目,欄位名稱,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼
臺中市,長期照顧十年計畫-日間照顧-失智症老人日間照顧中心-期底服務個案人數(單位:人),中低收入_重度失能_女,0,2018-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,長期照顧十年計畫-日間照顧-失智症老人日間照顧中心-期底服務個案人數(單位:人),低收入_輕度失能_男,0,2018-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,長期照顧十年計畫-日間照顧-失智症老人日間照顧中心-期底服務個案人數(單位:人),低收入_輕度失能_女,0,2018-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,長期照顧十年計畫-日間照顧-失智症老人日間照顧中心-期底服務個案人數(單位:人),低收入_中度失能_男,0,2018-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,長期照顧十年計畫-日間照顧-失智症老人日間照顧中心-期底服務個案人數(單位:人),低收入_中度失能_女,0,2018-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,長期照顧十年計畫-日間照顧-失智症老人日間照顧中心-期底服務個案人數(單位:人),低收入_重度失能_男,0,2018-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,長期照顧十年計畫-日間照顧-失智症老人日間照顧中心-期底服務個案人數(單位:人),低收入_重度失能_女,0,2018-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,長期照顧十年計畫-日間照顧-失智症老人日間照顧中心-期底服務個案人數(單位:人),中低收入_輕度失能_男,0,2018-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,長期照顧十年計畫-日間照顧-失智症老人日間照顧中心-期底服務個案人數(單位:人),中低收入_輕度失能_女,0,2018-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,長期照顧十年計畫-日間照顧-失智症老人日間照顧中心-期底服務個案人數(單位:人),中低收入_中度失能_男,0,2018-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,長期照顧十年計畫-日間照顧-失智症老人日間照顧中心-期底服務個案人數(單位:人),中低收入_中度失能_女,0,2018-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
